"id","name","type","calories","tags","ingredients","instructions","image","is_premium","macros","created_at"
11,"Vegetable Stir Fry","Dinner",450,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Broccoli"",""quantity"":""1 cup""},{""name"":""Bell Peppers"",""quantity"":""1""},{""name"":""Soy Sauce"",""quantity"":""2 tbsp""},{""name"":""Ginger"",""quantity"":""1 tsp""},{""name"":""Rice"",""quantity"":""1 cup cooked""}]","[""Cook rice."",""Sit-fry veggies with ginger."",""Add soy sauce."",""Serve over rice.""]","/images/vegetable_stir_fry.png",false,"{""calories"":450,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-02T18:11:52.700929+00:00"
12,"Turkey Sandwich","Lunch",400,"[""Turkey"",""Meat""]","[{""name"":""Turkey Breast"",""quantity"":""4 oz""},{""name"":""Whole Wheat Bread"",""quantity"":""2 slices""},{""name"":""Lettuce"",""quantity"":""1 leaf""},{""name"":""Tomato"",""quantity"":""2 slices""},{""name"":""Mayo"",""quantity"":""1 tbsp""}]","[""Toast bread."",""Assemble sandwich with turkey and veggies."",""Slice in half.""]","/images/turkey_sandwich.jpg",false,"{""calories"":400,""protein"":""30g"",""carbs"":""20g"",""fats"":""15g""}","2026-01-02T18:11:52.700929+00:00"
13,"Greek Yogurt Parfait","Breakfast",350,"[""Vegetarian"",""Gluten-Free"",""Dairy""]","[{""name"":""Greek Yogurt"",""quantity"":""1 cup""},{""name"":""Honey"",""quantity"":""1 tbsp""},{""name"":""Granola"",""quantity"":""1/4 cup""},{""name"":""Mixed Berries"",""quantity"":""1/2 cup""}]","[""Layer yogurt, granola, and berries."",""Drizzle with honey.""]","/images/greek_yogurt_parfait.jpg",false,"{""calories"":350,""protein"":""20g"",""carbs"":""40g"",""fats"":""15g""}","2026-01-02T18:11:52.700929+00:00"
14,"Beef Tacos","Dinner",600,"[""Gluten-Free"",""Beef"",""Meat""]","[{""name"":""Ground Beef"",""quantity"":""4 oz""},{""name"":""Corn Tortillas"",""quantity"":""3""},{""name"":""Salsa"",""quantity"":""2 tbsp""},{""name"":""Avocado"",""quantity"":""1/4""},{""name"":""Lime"",""quantity"":""1 wedge""}]","[""Brown beef with spices."",""Warm tortillas."",""Assemble tacos with salsa and avocado.""]","/images/beef_tacos.jpg",false,"{""calories"":600,""protein"":""30g"",""carbs"":""20g"",""fats"":""15g""}","2026-01-02T18:11:52.700929+00:00"
15,"Quinoa Salad","Lunch",400,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Quinoa"",""quantity"":""1/2 cup""},{""name"":""Cucumber"",""quantity"":""1/2""},{""name"":""Cherry Tomatoes"",""quantity"":""1/2 cup""},{""name"":""Feta Cheese"",""quantity"":""2 tbsp""},{""name"":""Olive Oil"",""quantity"":""2 tbsp""}]","[""Cook quinoa and cool."",""Chop veggies."",""Mix everything with olive oil and feta.""]","/images/quinoa_salad.png",false,"{""calories"":400,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-02T18:11:52.700929+00:00"
16,"Zucchini Noodles with Pesto","Dinner",350,"[""Vegan"",""Vegetarian"",""Keto"",""Gluten-Free"",""Paleo""]","[{""name"":""Zucchini"",""quantity"":""2""},{""name"":""Basil Pesto"",""quantity"":""1/4 cup""},{""name"":""Cherry Tomatoes"",""quantity"":""1/2 cup""},{""name"":""Pine Nuts"",""quantity"":""1 tbsp""}]","[""Spiralize zucchini."",""Sauté briefly."",""Toss with pesto and tomatoes.""]","/images/zucchini_noodles_pesto.png",false,"{""calories"":350,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-02T18:11:52.700929+00:00"
17,"Chia Seed Pudding","Breakfast",300,"[""Vegan"",""Vegetarian"",""Keto"",""Gluten-Free"",""Paleo""]","[{""name"":""Chia Seeds"",""quantity"":""3 tbsp""},{""name"":""Coconut Milk"",""quantity"":""1 cup""},{""name"":""Vanilla Extract"",""quantity"":""1/2 tsp""},{""name"":""Stevia"",""quantity"":""to taste""}]","[""Mix chia seeds and milk."",""Refrigerate overnight."",""Top with berries.""]","/images/chia_seed_pudding.png",false,"{""calories"":300,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-02T18:11:52.700929+00:00"
18,"Cauliflower Rice Stir Fry","Lunch",350,"[""Vegan"",""Vegetarian"",""Keto"",""Gluten-Free"",""Paleo""]","[{""name"":""Cauliflower Rice"",""quantity"":""2 cups""},{""name"":""Sugar Snap Peas"",""quantity"":""1/2 cup""},{""name"":""Soy Sauce (Tamari)"",""quantity"":""2 tbsp""},{""name"":""Sesame Oil"",""quantity"":""1 tbsp""},{""name"":""Tofu"",""quantity"":""1/2 block""}]","[""Sauté tofu."",""Add veggies and cauliflower rice."",""Stir fry with sauce.""]","/images/cauliflower_rice_stir_fry.png",false,"{""calories"":350,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-02T18:11:52.700929+00:00"
19,"Egg Roll in a Bowl","Dinner",500,"[""Keto"",""Paleo"",""Gluten-Free"",""Pork"",""Meat""]","[{""name"":""Ground Pork"",""quantity"":""4 oz""},{""name"":""Cabbage Coleslaw Mix"",""quantity"":""2 cups""},{""name"":""Ginger"",""quantity"":""1 tsp""},{""name"":""Garlic"",""quantity"":""1 clove""},{""name"":""Soy Sauce"",""quantity"":""2 tbsp""}]","[""Brown pork."",""Add cabbage and aromatics."",""Cook until wilted.""]","/images/egg_roll_bowl.png",false,"{""calories"":500,""protein"":""25g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-02T18:11:52.700929+00:00"
20,"Spinach & Mushroom Omelet","Breakfast",400,"[""Vegetarian"",""Keto"",""Gluten-Free"",""Egg""]","[{""name"":""Eggs"",""quantity"":""2""},{""name"":""Spinach"",""quantity"":""1 cup""},{""name"":""Mushrooms"",""quantity"":""1/2 cup""},{""name"":""Cheese"",""quantity"":""2 tbsp""},{""name"":""Butter"",""quantity"":""1 tsp""}]","[""Whisk eggs."",""Sauté veggies."",""Cook omelet with cheese.""]","/images/spinach_mushroom_omelet.png",false,"{""calories"":400,""protein"":""25g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-02T18:11:52.700929+00:00"
21,"Avocado Cucumber Salad","Lunch",450,"[""Vegan"",""Vegetarian"",""Keto"",""Gluten-Free"",""Paleo""]","[{""name"":""Avocado"",""quantity"":""1""},{""name"":""Cucumber"",""quantity"":""1""},{""name"":""Olive Oil"",""quantity"":""1 tbsp""},{""name"":""Lemon Juice"",""quantity"":""1 tbsp""},{""name"":""Cilantro"",""quantity"":""1 tbsp""}]","[""Chop avocado and cucumber."",""Drizzle with oil and lemon."",""Season with salt.""]","/images/avocado_cucumber_salad.jpg",false,"{""calories"":450,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-02T18:11:52.700929+00:00"
22,"Coconut Curry Lentils","Dinner",550,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Red Lentils"",""quantity"":""1 cup dry""},{""name"":""Coconut Milk"",""quantity"":""1 cup""},{""name"":""Curry Powder"",""quantity"":""1 tbsp""},{""name"":""Spinach"",""quantity"":""1 cup""},{""name"":""Onion"",""quantity"":""1/2""}]","[""Sauté onion and spices."",""Simmer lentils in coconut milk."",""Stir in spinach.""]","/images/coconut_curry_lentils.png",false,"{""calories"":550,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-02T18:11:52.700929+00:00"
23,"Grilled Shrimp Skewers","Dinner",400,"[""Keto"",""Paleo"",""Gluten-Free"",""Fish"",""Meat""]","[{""name"":""Shrimp"",""quantity"":""6 oz""},{""name"":""Bell Peppers"",""quantity"":""1""},{""name"":""Olive Oil"",""quantity"":""1 tbsp""},{""name"":""Lemon"",""quantity"":""1/2""},{""name"":""Garlic Powder"",""quantity"":""1/2 tsp""}]","[""Marinate shrimp."",""Thread onto skewers with peppers."",""Grill 3 mins per side.""]","/images/grilled_shrimp_skewers.png",false,"{""calories"":400,""protein"":""25g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-02T18:11:52.700929+00:00"
24,"Almond Flour Pancakes","Breakfast",500,"[""Vegetarian"",""Keto"",""Gluten-Free"",""Paleo""]","[{""name"":""Almond Flour"",""quantity"":""1 cup""},{""name"":""Eggs"",""quantity"":""2""},{""name"":""Almond Milk"",""quantity"":""1/4 cup""},{""name"":""Vanilla"",""quantity"":""1 tsp""}]","[""Mix batter."",""Cook on low heat."",""Serve with sugar-free syrup.""]","/images/almond_flour_pancakes.png",false,"{""calories"":500,""protein"":""25g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-02T18:11:52.700929+00:00"
25,"Stuffed Bell Peppers","Dinner",550,"[""Gluten-Free"",""Beef"",""Meat""]","[{""name"":""Bell Peppers"",""quantity"":""2""},{""name"":""Ground Beef"",""quantity"":""4 oz""},{""name"":""Rice"",""quantity"":""1/2 cup cooked""},{""name"":""Tomato Sauce"",""quantity"":""1/2 cup""},{""name"":""Cheese"",""quantity"":""2 tbsp""}]","[""Hollow peppers."",""Stuff with beef and rice mix."",""Bake at 375°F for 30 mins.""]","/images/stuffed_bell_peppers.png",false,"{""calories"":550,""protein"":""30g"",""carbs"":""20g"",""fats"":""15g""}","2026-01-02T18:11:52.700929+00:00"
26,"Miso Glazed Cod","Dinner",450,"[""Keto"",""Gluten-Free"",""Fish"",""Meat""]","[{""name"":""Cod Fillet"",""quantity"":""6 oz""},{""name"":""Miso Paste"",""quantity"":""1 tbsp""},{""name"":""Sake"",""quantity"":""1 tbsp""},{""name"":""Soy Sauce"",""quantity"":""1 tbsp""},{""name"":""Ginger"",""quantity"":""1 tsp""}]","[""Marinate cod."",""Broil for 8-10 mins.""]","/images/miso_glazed_cod.png",false,"{""calories"":450,""protein"":""25g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-02T18:11:52.700929+00:00"
27,"Shakshuka","Breakfast",450,"[""Vegetarian"",""Gluten-Free"",""Egg""]","[{""name"":""Eggs"",""quantity"":""2""},{""name"":""Tomato Sauce"",""quantity"":""1 cup""},{""name"":""Bell Peppers"",""quantity"":""1/2""},{""name"":""Onion"",""quantity"":""1/2""},{""name"":""Cumin"",""quantity"":""1 tsp""}]","[""Simmer sauce with veggies."",""Crack eggs into sauce."",""Cover and cook until set.""]","/images/shakshuka.png",false,"{""calories"":450,""protein"":""20g"",""carbs"":""40g"",""fats"":""15g""}","2026-01-02T18:11:52.700929+00:00"
28,"Avocado Toast with Poached Egg","Breakfast",350,"[""Vegetarian"",""Egg""]","[{""name"":""Sourdough Bread"",""quantity"":""1 slice""},{""name"":""Avocado"",""quantity"":""1/2""},{""name"":""Egg"",""quantity"":""1""}]","[""Toast bread."",""Mash avocado."",""Poach egg."",""Assemble.""]","/images/avocado_toast_egg.png",false,"{""calories"":350,""protein"":""20g"",""carbs"":""40g"",""fats"":""15g""}","2026-01-06T09:22:38.087Z"
29,"Berry Smoothie Bowl","Breakfast",300,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Frozen Berries"",""quantity"":""1 cup""},{""name"":""Banana"",""quantity"":""1""},{""name"":""Almond Milk"",""quantity"":""1/2 cup""}]","[""Blend all ingredients."",""Pour into bowl."",""Top with granola.""]","/images/berry_smoothie_bowl.png",false,"{""calories"":300,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-06T09:22:38.088Z"
30,"Vegetable Omelette","Breakfast",250,"[""Vegetarian"",""Gluten-Free"",""Keto"",""Egg""]","[{""name"":""Eggs"",""quantity"":""2""},{""name"":""Bell Peppers"",""quantity"":""1/4 cup""},{""name"":""Onion"",""quantity"":""2 tbsp""}]","[""Whisk eggs."",""Sauté veggies."",""Cook omelette.""]","/images/vegetable_omelette.png",false,"{""calories"":250,""protein"":""25g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-06T09:22:38.088Z"
31,"Greek Yogurt with Honey","Breakfast",200,"[""Vegetarian"",""Gluten-Free""]","[{""name"":""Greek Yogurt"",""quantity"":""1 cup""},{""name"":""Honey"",""quantity"":""1 tbsp""}]","[""Scoop yogurt."",""Drizzle honey.""]","/images/greek_yogurt_honey.png",false,"{""calories"":200,""protein"":""20g"",""carbs"":""40g"",""fats"":""15g""}","2026-01-06T09:22:38.088Z"
32,"Vegan Pancakes","Breakfast",400,"[""Vegan"",""Vegetarian""]","[{""name"":""Flour"",""quantity"":""1 cup""},{""name"":""Almond Milk"",""quantity"":""1 cup""},{""name"":""Baking Powder"",""quantity"":""1 tbsp""}]","[""Mix ingredients."",""Cook on griddle.""]","/images/vegan_pancakes.png",false,"{""calories"":400,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-06T09:22:38.088Z"
33,"Scrambled Tofu Burrito","Breakfast",450,"[""Vegan"",""Vegetarian""]","[{""name"":""Tofu"",""quantity"":""1/2 block""},{""name"":""Tortilla"",""quantity"":""1""}]","[""Scramble tofu."",""Wrap in tortilla.""]","/images/scrambled_tofu_burrito.png",false,"{""calories"":450,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-06T09:22:38.088Z"
34,"Peanut Butter Banana Toast","Breakfast",350,"[""Vegan"",""Vegetarian""]","[{""name"":""Bread"",""quantity"":""1 slice""},{""name"":""Peanut Butter"",""quantity"":""1 tbsp""},{""name"":""Banana"",""quantity"":""1""}]","[""Toast bread."",""Spread PB."",""Slice banana.""]","/images/pb_banana_toast.png",false,"{""calories"":350,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-06T09:22:38.088Z"
35,"Breakfast Quinoa Bowl","Breakfast",400,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Quinoa"",""quantity"":""1 cup""},{""name"":""Almond Milk"",""quantity"":""1/2 cup""}]","[""Cook quinoa."",""Add milk.""]","/images/breakfast_quinoa.png",false,"{""calories"":400,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-06T09:22:38.088Z"
36,"Mushroom Spinach Frittata","Breakfast",300,"[""Vegetarian"",""Keto"",""Gluten-Free"",""Egg""]","[{""name"":""Eggs"",""quantity"":""3""},{""name"":""Mushrooms"",""quantity"":""1/2 cup""}]","[""Sauté veg."",""Add eggs."",""Bake.""]","/images/mushroom_frittata.png",false,"{""calories"":300,""protein"":""25g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-06T09:22:38.088Z"
37,"Smoked Salmon Bagel","Breakfast",450,"[""Fish"",""Meat""]","[{""name"":""Bagel"",""quantity"":""1""},{""name"":""Cream Cheese"",""quantity"":""2 tbsp""},{""name"":""Smoked Salmon"",""quantity"":""2 oz""}]","[""Slice bagel."",""Spread cheese."",""Top with salmon.""]","/images/salmon_bagel.png",false,"{""calories"":450,""protein"":""30g"",""carbs"":""20g"",""fats"":""15g""}","2026-01-06T09:22:38.088Z"
38,"Caprese Salad","Lunch",350,"[""Vegetarian"",""Gluten-Free"",""Keto""]","[{""name"":""Tomato"",""quantity"":""2""},{""name"":""Mozzarella"",""quantity"":""4 oz""},{""name"":""Basil"",""quantity"":""Fresh""}]","[""Slice tomatoes and cheese."",""Layer with basil."",""Drizzle balsamic.""]","/images/caprese_salad.png",false,"{""calories"":350,""protein"":""25g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-06T09:22:38.088Z"
39,"Chicken Wrap","Lunch",500,"[""Chicken"",""Meat""]","[{""name"":""Tortilla"",""quantity"":""1""},{""name"":""Chicken Breast"",""quantity"":""4 oz""},{""name"":""Lettuce"",""quantity"":""1 cup""}]","[""Cook chicken."",""Wrap with lettuce.""]","/images/chicken_wrap.png",false,"{""calories"":500,""protein"":""30g"",""carbs"":""20g"",""fats"":""15g""}","2026-01-06T09:22:38.088Z"
40,"Lentil Salad","Lunch",400,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Lentils"",""quantity"":""1 cup cooked""},{""name"":""Cucumber"",""quantity"":""1/2""},{""name"":""Lemon"",""quantity"":""1""}]","[""Mix lentils and veggies."",""Dress with lemon.""]","/images/lentil_salad.png",false,"{""calories"":400,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-06T09:22:38.088Z"
41,"Tuna Salad","Lunch",350,"[""Fish"",""Meat"",""Gluten-Free""]","[{""name"":""Canned Tuna"",""quantity"":""1 can""},{""name"":""Mayo"",""quantity"":""1 tbsp""}]","[""Mix tuna and mayo.""]","/images/tuna_salad.png",false,"{""calories"":350,""protein"":""30g"",""carbs"":""20g"",""fats"":""15g""}","2026-01-06T09:22:38.088Z"
42,"Falafel Pita","Lunch",550,"[""Vegan"",""Vegetarian""]","[{""name"":""Pita"",""quantity"":""1""},{""name"":""Falafel"",""quantity"":""4""},{""name"":""Tahini"",""quantity"":""1 tbsp""}]","[""Stuff pita."",""Drizzle tahini.""]","/images/falafel_pita.png",false,"{""calories"":550,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-06T09:22:38.088Z"
43,"Cobb Salad","Lunch",600,"[""Keto"",""Gluten-Free"",""Chicken"",""Meat"",""Egg""]","[{""name"":""Lettuce"",""quantity"":""2 cups""},{""name"":""Chicken"",""quantity"":""4 oz""},{""name"":""Egg"",""quantity"":""1""}]","[""Assemble salad.""]","/images/cobb_salad.png",false,"{""calories"":600,""protein"":""25g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-06T09:22:38.088Z"
44,"Vegetable Soup","Lunch",200,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Carrots"",""quantity"":""2""},{""name"":""Celery"",""quantity"":""2""},{""name"":""Broth"",""quantity"":""2 cups""}]","[""Simmer veggies.""]","/images/vegetable_soup.png",false,"{""calories"":200,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-06T09:22:38.088Z"
45,"Turkey Burger","Lunch",450,"[""Meat"",""Turkey""]","[{""name"":""Turkey Patty"",""quantity"":""1""},{""name"":""Bun"",""quantity"":""1""}]","[""Grill burger."",""Serve on bun.""]","/images/turkey_burger.png",false,"{""calories"":450,""protein"":""30g"",""carbs"":""20g"",""fats"":""15g""}","2026-01-06T09:22:38.088Z"
46,"Spinach Pasta","Lunch",500,"[""Vegetarian""]","[{""name"":""Pasta"",""quantity"":""1 cup""},{""name"":""Spinach"",""quantity"":""2 cups""}]","[""Cook pasta."",""Sauté spinach."",""Mix.""]","/images/spinach_pasta.png",false,"{""calories"":500,""protein"":""20g"",""carbs"":""40g"",""fats"":""15g""}","2026-01-06T09:22:38.088Z"
47,"Shrimp Taco Bowl","Lunch",400,"[""Fish"",""Meat"",""Gluten-Free""]","[{""name"":""Shrimp"",""quantity"":""4 oz""},{""name"":""Rice"",""quantity"":""1/2 cup""},{""name"":""Corn"",""quantity"":""1/4 cup""}]","[""Cook shrimp."",""Simmer corn."",""Serve over rice.""]","/images/shrimp_taco_bowl.png",false,"{""calories"":400,""protein"":""30g"",""carbs"":""20g"",""fats"":""15g""}","2026-01-06T09:22:38.088Z"
48,"Beef Stir Fry","Dinner",600,"[""Beef"",""Meat"",""Gluten-Free""]","[{""name"":""Beef Strips"",""quantity"":""6 oz""},{""name"":""Broccoli"",""quantity"":""1 cup""},{""name"":""Soy Sauce"",""quantity"":""2 tbsp""}]","[""Stir fry beef."",""Add broccoli.""]","/images/beef_stir_fry.png",false,"{""calories"":600,""protein"":""30g"",""carbs"":""20g"",""fats"":""15g""}","2026-01-06T09:22:38.088Z"
49,"Baked Salmon with Asparagus","Dinner",500,"[""Fish"",""Meat"",""Keto"",""Gluten-Free""]","[{""name"":""Salmon"",""quantity"":""6 oz""},{""name"":""Asparagus"",""quantity"":""1 bunch""}]","[""Bake salmon and asparagus.""]","/images/baked_salmon.png",false,"{""calories"":500,""protein"":""25g"",""carbs"":""10g"",""fats"":""35g""}","2026-01-06T09:22:38.088Z"
50,"Vegetarian Chili","Dinner",400,"[""Vegan"",""Vegetarian"",""Gluten-Free""]","[{""name"":""Beans"",""quantity"":""2 cans""},{""name"":""Tomato Sauce"",""quantity"":""1 can""},{""name"":""Chili Powder"",""quantity"":""2 tbsp""}]","[""Simmer everything.""]","/images/vegetarian_chili.png",false,"{""calories"":400,""protein"":""15g"",""carbs"":""60g"",""fats"":""12g""}","2026-01-06T09:22:38.088Z"
51,"Pesto Pasta","Dinner",550,"[""Vegetarian""]","[{""name"":""Pasta"",""quantity"":""1 cup""},{""name"":""Pesto"",""quantity"":""2 tbsp""}]","[""Cook pasta."",""Toss with pesto.""]","/images/pesto_pasta.png",false,"{""calories"":550,""protein"":""20g"",""carbs"":""40g"",""fats"":""15g""}","2026-01-06T09:22:38.088Z"
52,"Chicken Curry","Dinner",600,"[""Chicken"",""Meat"",""Gluten-Free""]","[{""name"":""Chicken"",""quantity"":""4 oz""},{""name"":""Coconut Milk"",""quantity"":""1 cup""},{""name"":""Curry Paste"",""quantity"":""1 tbsp""}]","[""Simmer chicken in sauce.""]","/images/chicken_curry.png",false,"{""calories"":600,""protein"":""30g"",""carbs"":""20g"",""fats"":""15g""}","2026-01-06T09:22:38.088Z"
